SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
032702.06+011039.9 1.3406 20.610 0.078 20.565 0.032 20.189 0.032 20.167 0.043 20.070 0.115 -1.000 -9.000 -24.484
032703.15-005301.9 1.1474 20.780 0.084 20.757 0.036 20.430 0.036 20.385 0.044 20.519 0.156 -1.000 -9.000 -23.877
032703.25+002720.4 1.9750 19.953 0.050 19.748 0.032 19.687 0.021 19.587 0.025 19.388 0.057 -1.000 -9.000 -26.004
032705.26-001236.9 1.0666 21.111 0.100 20.785 0.031 20.302 0.029 20.255 0.034 20.061 0.096 -1.000 -9.000 -23.861
032708.43+004717.3 1.6476 20.942 0.093 20.739 0.033 20.272 0.032 19.801 0.030 19.671 0.073 -1.000 -9.000 -25.372
032708.80-065626.9 0.5597 20.029 0.047 19.587 0.025 19.595 0.022 19.294 0.026 19.232 0.068 -1.000 -9.000 -23.144
032710.68+010425.9 2.8945 21.639 0.182 20.299 0.029 19.960 0.028 19.929 0.035 19.890 0.095 -1.000 -9.000 -26.506
032710.92-003154.5 1.7605 21.111 0.129 20.598 0.032 20.460 0.041 20.148 0.048 20.102 0.108 -1.000 -9.000 -25.144
032711.09-002722.4 2.6200 21.725 0.222 20.701 0.033 20.205 0.036 19.967 0.033 19.610 0.072 -1.000 -9.000 -26.233
032711.79+001433.3 1.6463 21.324 0.138 20.795 0.033 20.400 0.038 20.045 0.033 19.999 0.121 -1.000 -9.000 -25.124
032712.62-070235.6 2.3013 19.428 0.034 18.909 0.023 18.774 0.017 18.687 0.021 18.366 0.036 -1.000 -9.000 -27.108
032713.02-072032.9 0.8744 20.584 0.083 20.496 0.033 20.366 0.036 20.326 0.044 20.195 0.157 -1.000 -9.000 -23.172
032716.94+002959.6 2.1768 21.143 0.091 20.448 0.038 20.327 0.034 20.235 0.040 19.818 0.077 -1.000 -9.000 -25.585
032717.23+010140.6 0.5011 22.278 0.291 21.240 0.046 20.453 0.036 19.703 0.047 19.267 0.064 -1.000 -9.000 -22.589
032717.54+000457.0 0.5922 20.986 0.099 20.402 0.030 20.356 0.041 19.876 0.037 19.870 0.097 -1.000 -9.000 -22.834
032719.16+002514.1 2.9615 22.013 0.170 20.847 0.042 20.655 0.037 20.700 0.055 20.577 0.139 -1.000 -9.000 -25.806
032723.24+002529.5 3.0356 22.804 0.326 20.580 0.038 20.110 0.031 19.917 0.034 19.846 0.076 -1.000 -9.000 -26.647
032724.31-005128.1 1.9001 20.101 0.054 19.813 0.023 19.483 0.023 19.306 0.023 19.187 0.052 -1.000 -9.000 -26.174
032731.40-000912.1 1.1518 20.673 0.075 20.786 0.031 20.302 0.039 20.222 0.038 20.013 0.105 -1.000 -9.000 -24.078
032732.31+000628.3 1.4718 19.477 0.042 19.312 0.024 19.165 0.035 18.992 0.032 18.983 0.048 -1.000 -9.000 -25.913
032733.56-001224.2 1.1589 20.491 0.065 20.528 0.026 20.264 0.038 20.207 0.038 20.350 0.138 -1.000 -9.000 -24.097
032733.63-071242.1 1.6307 20.412 0.059 20.023 0.028 19.986 0.027 19.710 0.029 19.679 0.099 -1.000 -9.000 -25.286
032734.05-002934.7 2.9205 22.154 0.318 21.030 0.047 20.942 0.051 20.784 0.053 20.662 0.168 -1.000 -9.000 -25.647
032738.36+000936.9 1.2641 20.473 0.070 20.375 0.029 20.032 0.038 19.954 0.039 19.980 0.106 -1.000 -9.000 -24.593
032740.14+005628.2 1.0970 19.852 0.048 19.436 0.020 19.020 0.018 18.842 0.021 18.692 0.038 -1.000 -9.000 -25.333
032740.66-065147.3 3.0152 22.288 0.309 19.939 0.032 19.711 0.024 19.639 0.030 19.570 0.095 -1.000 -9.000 -26.766
032742.40-010830.0 0.5645 21.252 0.110 20.807 0.044 20.688 0.037 20.283 0.044 20.206 0.101 -1.000 -9.000 -22.289
032743.14+003450.0 0.3884 19.791 0.035 19.555 0.024 19.381 0.019 19.252 0.029 18.726 0.039 -1.000 -9.000 -22.429
032745.74+005217.2 1.1576 20.962 0.128 20.790 0.033 20.269 0.027 20.096 0.036 19.821 0.082 -1.000 -9.000 -24.208
032747.87+005347.7 0.4874 20.852 0.089 20.323 0.026 20.211 0.029 19.879 0.031 19.581 0.069 -1.000 -9.000 -22.326
032753.84+001258.9 1.5580 20.366 0.063 19.991 0.026 19.627 0.025 19.359 0.025 19.142 0.057 -1.000 -9.000 -25.703
032756.44-004141.0 3.0419 22.260 0.314 20.744 0.036 20.337 0.034 20.372 0.038 20.294 0.106 -1.000 -9.000 -26.166
032759.20-005421.9 2.2325 22.249 0.290 21.111 0.048 20.471 0.035 20.149 0.039 19.815 0.084 -1.000 -9.000 -25.676
032759.21+004422.7 1.3568 18.853 0.025 18.741 0.017 18.191 0.016 18.038 0.017 17.983 0.022 -1.000 -9.000 -26.634
032759.51+001713.1 2.0609 19.927 0.049 20.012 0.026 19.894 0.029 19.608 0.029 19.309 0.063 -1.000 -9.000 -26.102
032801.12-000726.2 1.2156 20.804 0.084 20.800 0.033 20.364 0.039 20.291 0.040 20.242 0.119 -1.000 -9.000 -24.158
032801.25-004233.0 1.0167 20.104 0.056 19.849 0.028 19.578 0.027 19.527 0.023 19.539 0.059 -1.000 -9.000 -24.468
032807.44+003618.3 1.4515 21.295 0.103 20.958 0.039 20.386 0.029 20.101 0.039 19.810 0.078 -1.000 -9.000 -24.765
032807.50-003545.7 0.9729 20.339 0.069 20.226 0.037 20.040 0.026 20.003 0.035 19.836 0.080 -1.000 -9.000 -23.869
032808.33-003000.2 1.1291 20.443 0.076 20.250 0.037 19.948 0.025 19.807 0.033 19.715 0.071 -1.000 -9.000 -24.425
032819.94-003518.8 1.5590 20.044 0.057 19.725 0.035 19.623 0.021 19.375 0.028 19.430 0.057 -1.000 -9.000 -25.624
032822.58-064336.0 0.3811 19.579 0.035 19.349 0.035 19.233 0.018 19.120 0.021 18.690 0.048 -1.000 -9.000 -22.360
032824.11-054046.9 1.9955 20.694 0.078 20.159 0.045 19.678 0.024 19.241 0.024 18.870 0.056 -1.000 -9.000 -26.204
032825.19-003252.3 0.7731 20.352 0.070 19.832 0.035 19.678 0.022 19.707 0.031 19.589 0.064 -1.000 -9.000 -23.612
032828.29-065402.6 1.4111 19.271 0.027 19.211 0.025 18.926 0.017 18.814 0.021 18.784 0.046 -1.000 -9.000 -25.855
032829.55+002608.8 1.2876 20.266 0.048 20.073 0.020 19.833 0.023 19.765 0.028 19.745 0.071 -1.000 -9.000 -24.836
032832.77-070750.3 2.9322 24.472 1.227 20.747 0.033 20.148 0.029 19.554 0.027 19.107 0.060 -1.000 -9.000 -26.788
032837.02-010202.6 0.5921 20.969 0.097 20.767 0.039 20.550 0.036 20.175 0.044 19.808 0.086 -1.000 -9.000 -22.496
032837.16-003512.4 1.4010 20.360 0.070 20.048 0.037 19.686 0.021 19.587 0.030 19.497 0.061 -1.000 -9.000 -25.156
032838.28-000341.6 0.3036 20.821 0.085 19.965 0.024 19.203 0.021 18.967 0.026 17.956 0.031 -1.000 -9.000 -22.134
032842.35+004704.7 1.3105 20.359 0.057 20.126 0.026 19.672 0.024 19.559 0.029 19.513 0.063 -1.000 -9.000 -25.055
032845.36+004759.0 1.3338 20.805 0.077 20.587 0.032 20.251 0.031 20.098 0.038 20.086 0.099 -1.000 -9.000 -24.559
032848.48-010012.7 1.8390 20.377 0.061 20.203 0.027 19.981 0.027 19.705 0.026 19.575 0.072 -1.000 -9.000 -25.691
032853.26+011546.3 1.4594  0.000 0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000 0.000 -1.000 -9.000 -26.596
032853.30-053658.6 2.0246 19.223 0.030 19.236 0.033 19.315 0.020 19.211 0.026 18.857 0.066 -1.000 -9.000 -26.265
032902.64+001408.2 2.8980 22.383 0.360 20.922 0.036 20.683 0.041 20.524 0.044 20.379 0.159 -1.000 -9.000 -25.921
032903.05+002554.1 1.7012 21.479 0.113 20.775 0.031 20.394 0.029 19.921 0.028 19.732 0.071 -1.000 -9.000 -25.360
032906.38+001639.6 1.4478 20.587 0.075 20.187 0.024 20.008 0.028 19.800 0.028 19.759 0.095 -1.000 -9.000 -25.053
032908.44+001059.7 1.8478 19.398 0.032 19.366 0.022 19.198 0.016 18.738 0.025 18.681 0.039 -1.000 -9.000 -26.683
032909.26-005217.9 3.2107 22.496 0.340 20.656 0.036 20.328 0.032 20.211 0.035 20.093 0.111 -1.000 -9.000 -26.439
032909.56+002259.6 0.7565 20.905 0.096 20.257 0.034 20.010 0.029 19.718 0.028 19.274 0.065 -1.000 -9.000 -23.596
032911.88-074339.0 1.6599 19.664 0.034 19.441 0.026 19.343 0.020 19.087 0.024 19.031 0.059 -1.000 -9.000 -25.936
032912.36+005625.8 1.1354 19.566 0.040 19.359 0.018 18.945 0.020 18.970 0.023 18.962 0.044 -1.000 -9.000 -25.311
032916.56+002814.5 3.5874 25.829 0.519 21.752 0.061 20.673 0.034 20.408 0.040 20.314 0.115 -1.000 -9.000 -26.567
032917.68-010819.2 1.8060 18.958 0.022 18.955 0.024 18.806 0.016 18.450 0.016 18.315 0.026 -1.000 -9.000 -26.885
032918.71+003644.6 1.7447 21.135 0.087 20.982 0.035 20.822 0.038 20.479 0.044 20.410 0.129 -1.000 -9.000 -24.903
032919.33+001558.2 1.4073 19.895 0.044 19.779 0.021 19.258 0.021 19.128 0.028 19.069 0.059 -1.000 -9.000 -25.648
032919.89-005715.5 1.3113 23.881 0.955 21.349 0.062 19.979 0.027 19.470 0.027 19.044 0.053 -1.000 -9.000 -25.142
032920.43-000512.0 1.7590 20.166 0.049 20.248 0.023 20.111 0.031 19.751 0.027 19.706 0.080 -1.000 -9.000 -25.543
032924.52-075940.5 1.4299 18.487 0.024 18.321 0.021 18.154 0.012 18.102 0.012 18.150 0.029 -1.000 -9.000 -26.612
032925.66+010440.1 1.3238 21.542 0.154 21.187 0.045 20.790 0.045 20.768 0.063 20.924 0.236 -1.000 -9.000 -23.879
032930.60-004758.1 2.3178 21.518 0.158 20.677 0.035 20.503 0.038 20.299 0.037 19.907 0.080 -1.000 -9.000 -25.615
032932.22+001903.4 0.5394 21.483 0.147 20.759 0.032 20.564 0.037 20.326 0.044 19.958 0.118 -1.000 -9.000 -22.136
032932.40-000148.8 1.9790 20.653 0.069 20.361 0.024 19.923 0.029 19.728 0.035 19.419 0.065 -1.000 -9.000 -25.822
032932.50-062335.5 1.7330 19.063 0.026 18.875 0.018 18.852 0.014 18.603 0.017 18.733 0.050 -1.000 -9.000 -26.515
032933.96+000832.3 1.1302 20.337 0.059 20.122 0.030 19.804 0.023 19.790 0.031 19.584 0.078 -1.000 -9.000 -24.453
032933.97-004801.0 1.8779 19.340 0.037 19.427 0.026 19.276 0.028 18.850 0.022 18.656 0.035 -1.000 -9.000 -26.586
032938.26+010131.2 1.3158 20.364 0.060 20.242 0.023 19.946 0.025 19.879 0.030 19.851 0.096 -1.000 -9.000 -24.757
032938.48+001515.8 0.9218 20.937 0.092 20.780 0.033 20.564 0.037 20.493 0.048 20.187 0.146 -1.000 -9.000 -23.264
032938.48+002951.7 1.1317 20.217 0.046 19.926 0.024 19.512 0.023 19.376 0.024 19.307 0.051 -1.000 -9.000 -24.949
032939.90+005119.7 0.9062 20.314 0.056 20.001 0.020 19.791 0.023 19.753 0.027 19.556 0.066 -1.000 -9.000 -23.986
032940.52-004828.9 2.2215 20.607 0.078 20.103 0.029 19.930 0.031 19.820 0.029 19.700 0.068 -1.000 -9.000 -26.006
032941.12-002246.6 2.4159 20.853 0.077 20.289 0.023 20.179 0.026 20.218 0.033 19.893 0.084 -1.000 -9.000 -25.747
032945.89-000814.2 0.9786 20.842 0.080 20.551 0.028 20.296 0.034 20.203 0.036 20.302 0.138 -1.000 -9.000 -23.684
032946.75+011324.2 1.8868 20.905 0.093 20.743 0.034 20.707 0.044 20.152 0.041 20.135 0.124 -1.000 -9.000 -25.351
032946.99+000002.7 1.4147 21.128 0.108 21.270 0.044 20.559 0.035 20.641 0.047 20.652 0.190 -1.000 -9.000 -24.125
032947.92-064857.8 1.7565 18.836 0.027 18.608 0.017 18.608 0.015 18.415 0.014 18.392 0.040 -1.000 -9.000 -26.749
032948.44+010333.6 0.7429 18.497 0.025 18.066 0.019 17.847 0.017 17.886 0.018 17.660 0.027 -1.000 -9.000 -25.373
032948.59-062736.4 2.3002 19.328 0.033 18.930 0.018 18.864 0.013 18.840 0.017 18.700 0.051 -1.000 -9.000 -26.935
032949.47-072405.6 1.2530 19.068 0.035 19.099 0.021 18.760 0.024 18.723 0.020 18.892 0.052 -1.000 -9.000 -25.652
032950.00+005714.9 1.8546 19.747 0.039 19.514 0.018 19.191 0.019 18.742 0.019 18.468 0.032 -1.000 -9.000 -26.704
032955.22-055540.3 0.6069 19.721 0.046 19.284 0.033 19.121 0.024 18.815 0.021 18.697 0.047 -1.000 -9.000 -23.839
032957.22-064306.8 0.9574 19.174 0.030 18.937 0.024 18.769 0.019 18.705 0.017 18.628 0.046 -1.000 -9.000 -25.011
032957.43-002730.3 2.3504 21.344 0.150 20.760 0.035 20.785 0.045 20.599 0.044 20.371 0.140 -1.000 -9.000 -25.308
032958.28+011157.0 1.4460 20.884 0.094 20.707 0.036 20.379 0.034 19.980 0.035 19.705 0.086 -1.000 -9.000 -24.888
032958.48-071941.8 1.5320 20.279 0.066 20.005 0.025 19.893 0.030 19.702 0.030 19.819 0.111 -1.000 -9.000 -25.156
033001.64-071828.5 1.2491 17.068 0.026 17.079 0.019 16.769 0.022 16.705 0.016 16.717 0.019 -1.000 -9.000 -27.669
033003.39+002442.6 2.3395 21.030 0.105 20.123 0.026 19.903 0.028 19.582 0.033 19.187 0.064 -1.000 -9.000 -26.387
033004.34+000901.7 1.7968 19.902 0.044 19.789 0.024 19.668 0.024 19.257 0.028 19.098 0.051 -1.000 -9.000 -26.083
033004.48+005911.3 1.2124 19.077 0.034 18.785 0.022 18.280 0.018 18.162 0.014 18.121 0.027 -1.000 -9.000 -26.272
033004.53-055758.9 0.9889 19.377 0.030 19.344 0.029 19.158 0.022 19.195 0.032 19.034 0.056 -1.000 -9.000 -24.647
033006.75+001744.6 1.5156 21.455 0.144 21.071 0.041 20.903 0.046 20.718 0.056 20.962 0.287 -1.000 -9.000 -24.229
033009.96+000835.6 1.5425 20.830 0.083 20.423 0.028 20.108 0.027 19.753 0.032 19.862 0.095 -1.000 -9.000 -25.228
033010.63-000732.5 0.5784 20.892 0.085 20.550 0.031 20.483 0.043 20.167 0.034 20.122 0.117 -1.000 -9.000 -22.432
033012.27-003257.3 1.3269 20.752 0.092 20.891 0.038 20.464 0.038 20.348 0.038 20.687 0.182 -1.000 -9.000 -24.254
033016.22-065141.0 0.3669 20.035 0.046 19.828 0.021 19.490 0.020 19.314 0.021 18.783 0.049 -1.000 -9.000 -22.087
033016.60+005040.5 1.5223 21.117 0.112 21.202 0.042 20.816 0.037 20.560 0.044 20.280 0.119 -1.000 -9.000 -24.438
033022.85-053830.1 1.7976 20.356 0.062 20.254 0.028 20.334 0.038 20.060 0.045 20.120 0.148 -1.000 -9.000 -25.207
033023.08-002426.2 2.2041 20.586 0.069 19.753 0.020 19.169 0.017 18.938 0.025 18.710 0.033 -1.000 -9.000 -26.832
033023.86+003641.4 1.7569 20.869 0.073 20.695 0.030 20.467 0.032 19.959 0.031 19.912 0.079 -1.000 -9.000 -25.365
033024.24+004158.8 1.9297 19.918 0.042 19.614 0.023 19.402 0.021 19.202 0.018 19.123 0.046 -1.000 -9.000 -26.343
033027.21+005433.8 0.4427 19.320 0.037 18.892 0.022 18.725 0.018 18.539 0.015 18.403 0.031 -1.000 -9.000 -23.468
033029.75-005918.2 2.7469 21.292 0.129 19.772 0.027 19.375 0.021 19.069 0.024 18.575 0.037 -1.000 -9.000 -27.255
033032.42-055101.4 2.0249 19.372 0.035 19.005 0.023 18.774 0.022 18.735 0.025 18.599 0.042 -1.000 -9.000 -26.810
033032.53-001743.7 0.6091 19.442 0.039 18.939 0.017 18.927 0.017 18.852 0.025 18.881 0.036 -1.000 -9.000 -23.861
033036.24-001027.3 1.6338 20.703 0.080 20.548 0.037 20.539 0.035 20.284 0.037 20.150 0.115 -1.000 -9.000 -24.819
033036.46+000453.0 1.7954 20.516 0.066 20.072 0.025 19.934 0.027 19.635 0.031 19.549 0.072 -1.000 -9.000 -25.694
033037.42+003553.9 1.5188 20.303 0.050 19.955 0.021 19.655 0.023 19.415 0.024 19.726 0.067 -1.000 -9.000 -25.555
033040.02+000704.6 1.5098 19.412 0.036 19.058 0.016 18.792 0.026 18.499 0.024 18.412 0.032 -1.000 -9.000 -26.426
033040.53-001307.5 1.4681 21.102 0.095 20.846 0.032 20.604 0.031 20.442 0.037 20.224 0.099 -1.000 -9.000 -24.409
033042.54+002106.1 1.2810 20.509 0.075 20.358 0.036 20.087 0.030 20.102 0.036 20.124 0.130 -1.000 -9.000 -24.444
033043.51-072240.6 1.6695 19.808 0.047 19.004 0.023 18.617 0.025 18.193 0.019 18.080 0.028 -1.000 -9.000 -26.872
033047.73+004859.4 0.8610 20.193 0.052 19.829 0.037 19.688 0.021 19.482 0.024 19.287 0.052 -1.000 -9.000 -24.137
033048.35-004419.6 2.5589 21.438 0.152 20.653 0.035 20.604 0.043 20.523 0.038 19.890 0.079 -1.000 -9.000 -25.671
033048.50-002819.6 1.7791 20.328 0.072 19.546 0.027 19.109 0.021 18.754 0.021 18.599 0.038 -1.000 -9.000 -26.548
033056.25+001011.3 1.9219 20.190 0.054 19.879 0.019 19.781 0.029 19.493 0.028 19.314 0.060 -1.000 -9.000 -25.990
033059.05+010952.0 0.5557 20.499 0.076 19.787 0.022 19.591 0.020 19.289 0.022 19.247 0.056 -1.000 -9.000 -23.270
033100.21-001638.6 1.2014 20.665 0.069 20.497 0.027 20.009 0.022 19.982 0.030 19.779 0.070 -1.000 -9.000 -24.403
033101.23+002249.9 1.6874 20.842 0.099 20.749 0.040 20.591 0.039 20.233 0.039 20.217 0.142 -1.000 -9.000 -24.962
033101.25-010347.3 1.8951 20.929 0.081 20.805 0.035 20.598 0.031 20.206 0.035 20.224 0.096 -1.000 -9.000 -25.290
033105.47-002158.6 3.9307 23.873 1.298 21.502 0.049 20.245 0.025 19.984 0.030 19.868 0.076 -1.000 -9.000 -27.096
033106.26-003249.6 1.9037 19.975 0.055 19.933 0.027 19.799 0.026 19.444 0.026 19.390 0.058 -1.000 -9.000 -26.067
033106.49+010755.8 1.2233 20.709 0.089 20.867 0.033 20.531 0.035 20.418 0.045 20.481 0.162 -1.000 -9.000 -24.049
033108.40-064440.4 0.9660 18.315 0.016 18.175 0.019 18.000 0.023 18.114 0.020 18.001 0.033 -1.000 -9.000 -25.620
033109.50-004231.6 1.2736 21.002 0.107 20.606 0.034 19.958 0.036 19.855 0.024 19.886 0.073 -1.000 -9.000 -24.769
033112.99+010812.6 0.7294 20.996 0.111 20.758 0.031 20.615 0.168 20.173 2.185 19.606 0.079 -1.000 -9.000 -23.045
033114.69+004708.2 1.7718 20.755 0.095 20.533 0.036 20.410 0.031 20.077 0.035 20.159 0.110 -1.000 -9.000 -25.231
033115.31-010349.7 1.3121 20.096 0.045 19.969 0.022 19.598 0.018 19.495 0.020 19.394 0.049 -1.000 -9.000 -25.127
033118.14+004825.5 3.2377 25.642 0.822 19.874 0.031 19.363 0.018 19.125 0.022 18.968 0.043 -1.000 -9.000 -27.550
033119.66-074143.1 4.7086 24.468 1.208 25.026 0.864 20.568 0.040 19.119 0.022 19.086 0.066 -1.000 -9.000 -28.271
033119.78+011256.5 1.5599 20.313 0.066 20.127 0.021 19.948 0.024 19.612 0.027 19.745 0.088 -1.000 -9.000 -25.443
033124.59-000554.2 1.5096 19.617 0.040 19.199 0.020 18.905 0.023 18.696 0.024 18.779 0.041 -1.000 -9.000 -26.220
033125.69+001638.5 2.1140 21.292 0.145 20.881 0.040 20.549 0.034 20.291 0.039 19.985 0.119 -1.000 -9.000 -25.397
033125.90+005040.9 0.4261 20.256 0.056 20.033 0.020 19.918 0.024 19.487 0.021 19.186 0.048 -1.000 -9.000 -22.414
033126.90-000009.9 1.7757 19.884 0.047 19.862 0.023 19.716 0.027 19.410 0.027 19.238 0.057 -1.000 -9.000 -25.877
033130.35+001904.3 2.0571 21.689 0.202 21.140 0.044 20.815 0.041 20.625 0.049 20.474 0.178 -1.000 -9.000 -25.005
033130.81-052841.0 1.3548 19.502 0.039 19.379 0.030 19.065 0.020 18.958 0.022 19.070 0.060 -1.000 -9.000 -25.610
033131.17-005704.2 1.8051 19.063 0.029 19.013 0.023 18.838 0.024 18.483 0.022 18.348 0.030 -1.000 -9.000 -26.902
033131.18-000207.8 1.7714 20.390 0.066 19.921 0.024 19.784 0.027 19.489 0.028 19.428 0.064 -1.000 -9.000 -25.793
033131.61-072216.3 0.2515 19.267 0.043 18.971 0.033 18.508 0.016 18.191 0.022 17.886 0.026 -1.000 -9.000 -22.316
033137.73-011219.9 2.2112 20.093 0.044 19.734 0.020 19.623 0.018 19.458 0.020 19.281 0.047 -1.000 -9.000 -26.341
033140.58+002006.4 1.5082 19.632 0.041 19.036 0.025 18.542 0.018 18.178 0.018 18.030 0.030 -1.000 -9.000 -26.731
033141.08-061248.0 0.6353 19.262 0.029 18.906 0.027 18.688 0.018 18.366 0.028 18.339 0.032 -1.000 -9.000 -24.352
033141.15-001042.8 2.1014 20.066 0.048 19.775 0.024 19.589 0.021 19.476 0.029 19.221 0.055 -1.000 -9.000 -26.220
033143.33-005752.1 0.7609 20.287 0.060 19.636 0.031 19.274 0.022 19.089 0.021 18.691 0.038 -1.000 -9.000 -24.225
033144.14+000916.1 1.9799 19.673 0.038 19.551 0.016 19.549 0.022 19.417 0.022 19.410 0.064 -1.000 -9.000 -26.096
033145.53-010125.2 2.1541 20.213 0.057 19.755 0.031 19.559 0.024 19.378 0.024 19.179 0.054 -1.000 -9.000 -26.407
033147.64+001343.1 1.2591 20.039 0.053 19.950 0.028 19.818 0.024 19.755 0.028 19.753 0.092 -1.000 -9.000 -24.702
033150.07-002311.1 2.1872 19.911 0.046 19.558 0.018 19.564 0.022 19.231 0.018 18.954 0.043 -1.000 -9.000 -26.582
033152.10-062854.3 1.8828 19.313 0.030 19.149 0.024 18.989 0.016 18.762 0.021 18.620 0.047 -1.000 -9.000 -26.557
033152.13+004334.8 1.1710 20.882 0.086 20.630 0.031 20.059 0.027 19.806 0.029 19.660 0.069 -1.000 -9.000 -24.497
033153.73+002026.6 1.7494 20.381 0.066 20.187 0.029 20.189 0.028 19.931 0.031 20.049 0.116 -1.000 -9.000 -25.321
033154.28-003650.1 3.1223 21.802 0.231 20.344 0.030 19.952 0.030 19.928 0.029 19.884 0.084 -1.000 -9.000 -26.696
033154.33+002907.6 1.9318 20.789 0.068 20.597 0.030 20.559 0.032 20.237 0.035 20.008 0.083 -1.000 -9.000 -25.240
033154.53-000050.2 1.2235 19.900 0.043 19.981 0.025 19.715 0.022 19.684 0.031 19.839 0.084 -1.000 -9.000 -24.721
033155.29-000420.3 1.4589 19.568 0.035 19.335 0.022 19.130 0.019 18.978 0.025 19.123 0.049 -1.000 -9.000 -25.858
033156.36-000708.5 2.3463 22.765 0.456 22.357 0.104 22.079 0.120 21.762 0.134 21.261 0.273 -1.000 -9.000 -24.180
033156.87+002605.2 0.2369 20.403 0.052 19.367 0.020 18.490 0.020 17.948 0.016 17.664 0.017 -1.000 -9.000 -22.504
033157.38-075549.6 0.5271 17.814 0.016 17.504 0.019 17.604 0.021 17.477 0.017 17.528 0.025 -1.000 -9.000 -24.841
033159.28+004146.9 1.5581 21.008 0.096 20.867 0.035 20.780 0.041 20.541 0.051 20.781 0.171 -1.000 -9.000 -24.436
033159.48+003533.5 1.6109 19.993 0.039 19.592 0.021 19.460 0.023 19.150 0.021 19.073 0.040 -1.000 -9.000 -25.909
033201.42-004310.2 1.7444 19.982 0.049 19.820 0.023 19.742 0.026 19.496 0.022 19.490 0.056 -1.000 -9.000 -25.807
033201.88-010918.7 0.8554 20.188 0.044 19.631 0.023 19.475 0.023 19.390 0.020 19.190 0.044 -1.000 -9.000 -24.201
033202.33-003738.9 0.6069 19.277 0.035 18.543 0.022 18.425 0.024 18.148 0.017 18.206 0.024 -1.000 -1.524 -24.621
033203.28+003424.0 1.5393 20.272 0.047 19.817 0.022 19.431 0.023 19.073 0.020 19.219 0.045 -1.000 -9.000 -25.876
033204.21-065541.9 0.5739 19.335 0.028 18.995 0.018 18.958 0.017 18.861 0.022 18.882 0.053 -1.000 -9.000 -23.611
033206.28-002301.8 2.0447 20.878 0.082 20.696 0.028 20.317 0.026 20.183 0.031 19.912 0.079 -1.000 -9.000 -25.469
033209.74-000649.3 1.2444 21.098 0.108 21.202 0.043 20.573 0.035 20.626 0.053 20.378 0.132 -1.000 -9.000 -23.833
033210.84-060506.2 1.0347 19.152 0.031 19.051 0.031 18.780 0.035 18.794 0.029 18.708 0.042 -1.000 -9.000 -25.097
033211.85+002430.9 0.5087 20.050 0.052 19.505 0.026 19.376 0.020 18.964 0.022 18.821 0.045 -1.000 -9.000 -23.316
033212.83-053830.6 1.2888 19.284 0.034 19.276 0.039 19.137 0.020 19.141 0.025 19.002 0.054 -1.000 -9.000 -25.304
033213.55-000725.0 2.0732 20.144 0.051 19.854 0.024 19.547 0.021 19.423 0.029 19.219 0.054 -1.000 -9.000 -26.230
033215.10-060107.5 1.6835 19.376 0.033 19.254 0.031 19.181 0.036 18.895 0.030 18.916 0.049 -1.000 -9.000 -26.150
033216.76+003029.6 0.4225 20.829 0.069 20.226 0.025 19.795 0.024 19.489 0.023 19.219 0.044 -1.000 -9.000 -22.333
033217.08+002203.8 1.5313 22.016 0.249 20.753 0.030 19.913 0.024 19.242 0.021 19.003 0.052 -1.000 -9.000 -25.694
033217.13+003058.3 1.9528 21.042 0.080 20.786 0.033 20.498 0.031 20.168 0.034 19.859 0.074 -1.000 -9.000 -25.326
033217.37-002315.1 1.5371 21.625 0.141 21.079 0.036 20.518 0.029 20.095 0.029 19.963 0.083 -1.000 -9.000 -24.893
033217.82+001033.9 0.8235 20.691 0.079 20.278 0.023 20.058 0.022 20.034 0.028 19.777 0.090 -1.000 -9.000 -23.393
033218.04+010648.5 0.4823 19.366 0.032 18.915 0.017 18.710 0.022 18.479 0.025 18.326 0.027 -1.000 -9.000 -23.694
033218.35-002727.3 1.7052 20.780 0.101 20.615 0.035 20.392 0.035 20.197 0.037 20.008 0.092 -1.000 -9.000 -25.042
033219.41+002755.5 1.2177 21.286 0.167 20.820 0.037 20.231 0.038 19.967 0.041 19.829 0.074 -1.000 -9.000 -24.421
033219.87-005310.8 0.5031 20.322 0.058 19.896 0.023 19.887 0.025 19.550 0.028 19.358 0.058 -1.000 -9.000 -22.751
033221.87+000048.8 1.2998 20.140 0.056 19.693 0.018 19.100 0.017 19.061 0.019 18.897 0.049 -1.000 -9.000 -25.468
033223.31-064659.6 0.7660 19.530 0.032 19.286 0.017 19.208 0.021 19.234 0.023 19.023 0.055 -1.000 -9.000 -23.948
033223.51-065450.5 3.6932 24.524 1.159 21.560 0.057 19.708 0.025 19.599 0.027 19.210 0.064 -1.000 -9.000 -27.228
033223.79+010150.1 1.2500 20.784 0.080 20.698 0.033 20.254 0.028 20.310 0.038 20.249 0.121 -1.000 -9.000 -24.161
033224.95-062116.1 2.7597 20.958 0.096 19.914 0.031 19.543 0.022 19.121 0.022 18.943 0.058 -1.000 -9.000 -27.067
033226.29-011126.2 1.3619 21.274 0.103 21.428 0.058 20.541 0.031 20.669 0.048 20.870 0.174 -1.000 -9.000 -24.063
